model	lambda	epsilon	C	Co	gamma
bcc-csm1-1	1.28	1.27	8.4	56	0.59
CanESM2	1.06	1.28	8	77	0.54
CCSM4	1.4	1.36	7.6	72	0.81
CSIRO-Mk3-6-0	0.68	1.82	8.5	76	0.71
GISS-E2-R	2.03	1.44	6.1	134	1.06
HadGEM2-ES	0.61	1.54	7.5	98	0.49
IPSL-CM5A-LR	0.79	1.14	8.1	100	0.57
MIROC5	1.58	1.19	8.7	158	0.73
MPI-ESM-LR	1.21	1.42	8.5	78	0.62
MRI-CGCM3	1.31	1.25	9.3	68	0.59
NorESM1-M	1.15	1.57	9.7	121	0.76
CNRM-CM5	1.12	0.92	8.3	95	0.51
GFDL-ESM2M	1.38	1.21	8.8	112	0.84
FGOALS-s2	0.87	1.21	7.5	138	0.72
inmcm4	1.56	0.83	8.5	271	0.67
